"dataset","site","initial.year","study.length","n.plots","n.taxa","n.taxa.regional","organism","taxa","abund.type","abund.units","extent","interplot.dist","AvgPlotRich","Evenness","Turnover","Jaccard","Jacc.tu","Jacc.ne","CVTotBiomass","LoreauSynch","VarRatio","rSppMean","rRichness","sd.rRichness","p.rRichness"
"mcr_coral_algae_backreef","mcr",2006,10,30,11,11,"marine","coral & algae","percent cover","mean.percent.cover within 0.25_m2",16.652,10.375,4.26333333333333,0.359584110458883,0.244640019868778,0.7301776384535,0.83399628468594,0.896181353767561,0.0813988849849678,0.11786849664026,0.687166288680285,0.262958947911572,0.0888192267502612,0.34023379884209,0
"mcr_coral_algae_fringing","mcr",2006,10,30,23,26,"marine","coral & algae","percent cover","mean.percent.cover within 0.25_m2",15.674,9.659,6.49666666666667,0.515837533241718,0.226924071583305,0.550279258827307,0.676427350499997,0.87385190832731,0.124384583665484,0.0888840537100581,0.54048299340549,0.186699375555041,0.0567467781260885,0.366392133349252,0.00700000000000001
"mcr_coral_algae_outer10","mcr",2006,10,30,25,27,"marine","coral & algae","percent cover","mean.percent.cover within 0.25_m2",17.294,10.792,12.37,0.546326701144816,0.194193336905732,0.789678044094836,0.845856993125675,0.943821050969161,0.0722557426935418,0.0294887475504557,0.276522237301271,0.450408886880111,0.441846021197501,0.288078426682507,0
"mdk_coral","middle_keys",1996,20,8,24,26,"marine","coral","percent cover","percent.cover within 0.25_m2",55.396,27.503,9.35625,0.70285488600118,0.231681208756049,0.710210965843934,0.843626262307156,0.866584703536778,0.113804899081518,0.0951327280486358,0.932778411091326,0.0966682529671803,0.236222917619707,0.283098426809485,0
"sbc","sbc",2001,18,34,30,30,"marine","algae","biomass","biomass_g_per_m2 within 80_m2_transect",73.377,26.815,6.9281045751634,0.66765861004296,0.439053176415885,0.617044177663851,0.723191040270177,0.893853137393674,0.278087486367393,0.143318040476088,0.754319606022354,0.109976630317056,0.0532319386921846,0.252646934713256,0
"sev_b","sev",2002,13,30,42,43,"terrestrial","blue grama","biomass","biomass_g within 1m2",0.704,0.312,7.93589743589744,0.570179793796468,0.401731275646536,0.482481698576376,0.575743899039375,0.906737799537,0.720252707875334,0.455092774378981,2.9275895056663,0.407014430242182,0.639636225843122,0.147273851638918,0
"sev_c","sev",1999,16,30,29,32,"terrestrial","blue grama","biomass","biomass_g within 1m2",1.327,0.501,5.17291666666667,0.567451592608426,0.430073829183756,0.472222069871648,0.601788545721671,0.870433524149977,0.513280037253348,0.25153602260949,1.45547732250049,0.310109703166561,0.611244083840433,0.20822445893047,0
"sev_g","sev",1999,16,22,27,27,"terrestrial","blue grama","biomass","biomass_g within 1m2",0.812,0.334,5.38352272727273,0.3832994540263,0.444741118457696,0.672629523245589,0.73155570555773,0.941073817687859,0.817682197343666,0.50346478243451,1.55268917689286,0.508530710488532,0.602304558186911,0.168360439553905,0
"upk_coral","upper_keys",1996,20,10,23,25,"marine","coral","percent cover","percent.cover within 0.25_m2",44.684,19.563,8.41,0.625928571461568,0.205093267623356,0.663169023767579,0.77077841662981,0.892390607137769,0.269963935292507,0.309289384947654,1.31727805836718,0.154645939728088,0.391779448621554,0.40295798555024,0
"usvi_coral","csun_usvi",1992,26,6,17,17,"marine","coral","percent cover","mean.percent.cover within 0.25_m2",1.381,0.789,7.40384615384615,0.67342160665841,0.235939061105907,0.889950980392157,0.927941176470588,0.962009803921569,0.127965282214608,0.085439785407791,0.737480715746967,0.127734988468322,0.269196581196581,0.209595825404086,0
